id,description,style_id/id,expression_mode,css_style,incluir_lancamentos_de_fechamento,invert_signal,column_break,expression,name,expression_type,column_title
mis_report_kpi_287,Remuneração direta,,Formula,,False,False,False,"bal[4.1.4,4.1.1][('move_id.lancamento_de_fechamento', '=', False)] - bal[4.1.1.1.02.0003,4.1.1.1.03.0003,4.1.1.1.03.0006,4.1.1.1.04,4.1.1.1.07,4.1.1.2.04,4.1.1.1.2.05.0004,4.1.1.1.2.05.0005,4.1.1.1.2.05.0006][('move_id.lancamento_de_fechamento', '=', False)] - bal[4.1.1.1.02.0001,4.1.1.1.02.0021,4.1.1.1.05.0003,4.1.1.2.02.0001,4.1.1.2.05.0002,4.1.1.2.05.0003][('move_id.lancamento_de_fechamento', '=', False)]",remuneracao_direta,Saldo no período,False
mis_report_kpi_288,Benefícios,,Formula,,False,False,False,"bal[4.1.1.1.04,4.1.1.1.07,4.1.1.2.04,4.1.1.2.05.0004,4.1.1.2.05.0005,4.1.1.2.05.0006][('move_id.lancamento_de_fechamento', '=', False)]",beneficios,Saldo no período,False
mis_report_kpi_289,F.G.T.S.,,Formula,,False,False,False,"bal[4.1.1.1.02.0003,4.1.1.1.03.0003,4.1.1.1.03.0006][('move_id.lancamento_de_fechamento', '=', False)]",fgts,Saldo no período,False
mis_report_kpi_290,"Impostos, taxas e contribuições",mis_report_style_negrito,Formula,,False,False,False,federais + estaduais + municipais,impostos_taxas_contribuicoes,Saldo no período,False
mis_report_kpi_291,Federais,,Formula,,False,False,False,"bal[4.1.1.1.02.0001,4.1.1.1.02.0021,4.1.1.1.05.0003,4.1.1.2.02.0001,4.1.1.2.05.0002,4.1.1.2.05.0003][('move_id.lancamento_de_fechamento', '=', False)] + bal[4.9.3.1,4.1.8,4.1.6][('move_id.lancamento_de_fechamento', '=', False)] - bal[4.1.6.1.01.0001,4.1.6.1.01.0003,4.1.6.1.01.0008][('move_id.lancamento_de_fechamento', '=', False)]",federais,Saldo no período,False
mis_report_kpi_292,Estaduais,,Formula,,False,False,False,0,estaduais,Saldo no período,False
mis_report_kpi_293,Municipais,,Formula,,False,False,False,"bal[4.1.6.1.01.0001,4.1.6.1.01.0003,4.1.6.1.01.0008][('move_id.lancamento_de_fechamento', '=', False)]",municipais,Saldo no período,False
mis_report_kpi_294,Remuneração de capitais de terceiros,mis_report_style_negrito,Formula,,False,False,False,juros + alugueis + outras_8,remuneracao_capitais_terceiros,Saldo no período,False
mis_report_kpi_295,Juros,,Formula,,False,False,False,"bal[4.1.7,4.2.2][('move_id.lancamento_de_fechamento', '=', False)]",juros,Saldo no período,False
mis_report_kpi_296,Alugueis,,Formula,,False,False,False,"bal[4.1.3.1.01][('move_id.lancamento_de_fechamento', '=', False)]",alugueis,Saldo no período,False
mis_report_kpi_297,Outras,,Formula,,False,False,False,0,outras_8,Saldo no período,False
mis_report_kpi_298,Remuneração de Capitais Próprios,mis_report_style_negrito,Formula,,False,False,False,juros_sobre_capital_prop_dividen + lucros_retidos_prejuizo_exerci,remuneracao_capitais_proprios,Saldo no período,False
mis_report_kpi_299,Juros sobre o Capital Próprio / Dividendos,,Formula,,True,False,False,-bale[2.1.1.5.02.0003],juros_sobre_capital_prop_dividen,Saldo no período,False
mis_report_kpi_300,Lucros retidos / Prejuízo do exercício,,Formula,,True,False,False,-bal[2.5.1.3],lucros_retidos_prejuizo_exerci,Saldo no período,False
